   ;IDENT;NAME
717;Кироч;Кирочная
718;Кирпи;Кирпичный
719;Климо;Климов
720;Клин;Клин
721;Клини;Клиническая
722;Клинс;Клинский
723;Клочк;Клочков
724;Клубн;Клубная
725;Ключе;Ключевая/ой
726;Книпо;Книпович
727;Ковал;Ковалевская
728;Ковен;Ковенский
729;Кодак;Кодакопшино
730;Кодац;Кодацкого
731;Кожев;Кожевенная
732;Козло;Козлова
733;КолВа;Кольцова
734;Колле;Коллективная
735;Колло;Коллонтай
736;КолоЖ;Коломяжский
737;Колок;Колокольная
738;Колом;Коломенская
739;Колпи;Колпинская/ое
740;Колхо;Колхозная/ый
741;Кольс;Кольская
742;Кольц;Кольцевая/ой
743;Комен;Комендантская/ий
744;Комин;Коминтерна
745;КоммВ;Коммунаров
746;КоммК;Коммунистическая
747;Комму;Коммуны
748;Компо;Композиторов
749;Комс2;Комсомольская 2-я
750;КомсК;Комсомольская/ий
751;Комсо;Комсомола
752;Мури1;Муринский 1-й
753;Мури2;Муринский 2-й
754;Муром;Муромцева
755;Мучно;Мучной
756;Мыза;Мыза
757;Мыкко;Мыкколово
758;Мытни;Мытнинская/ий
759;Мясна;Мясная
760;Мясни;Мясникова
761;НАлек;Ново-Александровская
762;НГага;Ново-Гагаринская
763;НГорс;Новогорская
764;НДерН;Новая Деревня
765;НДере;Новодеревенская
766;НЖДор;Новожелезнодорожная
767;НИзма;Ново-Измайловский
768;НКамС;Нижне-Каменская
769;НКаме;На Каменку
770;НКова;Новое Ковалево
771;НКолЖ;Новоколомяжский
772;НКонд;Новокондакопшино
773;НЛадо;Ново-Ладожская
774;НЛито;Ново-Литовская
775;НМест;Новые Места
776;НОвся;Новоовсянниковская
777;НОпол;Народного Ополчения
778;НОрло;Ново-Орловская
779;НПСла;На Петро-Славянку
780;НПоле;Нижняя Полевая
781;НПрое;Новопроектированная
782;НРосс;Новороссийская
783;НСадо;Новосадовая
784;НСелК;Новосельковская
785;НСелк;Новоселки
786;НСело;Новоселов
787;НСиби;Новосибирская
788;НСлоб;Новая Слобода
789;НСмол;Новосмоленская
790;НСтро;Новостроек
791;НУтин;Новоутиная
792;НУшин;Ново-Ушинская
793;НЦент;Новоцентральная
794;НЧерк;Новочеркасский
795;Набер;Набережная/ый
796;Нагор;Нагорная/ый
797;Надго;Надгорная
798;Налич;Наличная
799;Нарвс;Нарвская/ий
800;Народ;Народная/ый
801;Наста;Наставников
802;Науки;Науки
803;НахНа;Нахимсона
804;Нахим;Нахимова
805;Нева;Нева
806;Невзо;Невзоровой
807;Невск;Невская/ий
808;Нежин;Нежинская
809;Нейшл;Нейшлотский
810;Некра;Некрасова
811;Немко;Немкова
812;Непок;Непокоренных
813;Несте;Нестерова
814;Нижн;Нижняя/ий
815;Нижн1;Нижняя 1-я
816;Низа;Низа
817;Ники1;Никитинская 1-я
818;Ники2;Никитинская 2-я
819;НикоГ;Никольского
820;НикоК;Николаевская/ий
821;Никол;Никольская/ий
822;Нов;Новая/ый/ое
823;Новат;Новаторов
824;Новго;Новгородская/ий
825;Ногин;Ногина
826;ОБерг;Ольги Берггольц
827;ОДунд;Олеко Дундича
828;ОМ150;"т/х ""ОМ-150"""
829;ОМ383;"т/х ""ОМ-383"""
830;ОНабе;Озерно-Набережная
831;ООбор;Обуховской Обороны
832;ОПруд;Ольгина Пруда
833;ОРоща;Осиновая Роща
834;ОФедо;Оружейника Федорова
835;ОФорш;Ольги Форш
836;ОборН;Оборонная
837;Оборо;Обороны
838;ОбруВ;Обручевых
839;Обруч;Обрученных
840;ОбухС;Обуховская
841;Общес;Общественная/ый
842;Объез;Объездная/ое
843;Овраж;Овражная
844;ОгорН;Огородная/ый
845;Одесс;Одесская
846;Одоев;Одоевского
847;Озер1;Озерковский 1-й
848;Озер2;Озерковский 2-й
849;Озер3;Озерковский 3-й
850;ОзерС;Озерковская/ий
851;Озерк;Озерковая
852;Озерн;Озерная/ый
853;Окраи;Окраинная
854;Окруж;Окружная
855;ОктяК;Октябрьская/ий
856;ОктяТ;Октябрят
857;Ольги;Ольгин/о
858;Ольми;Ольминского
859;Ольхо;Ольховая
860;Омска;Омская
861;Онежс;Онежский
862;Опочи;Опочинина
863;Опытн;Опытная
864;Оран2;Ораниенбаум 2-й
865;Оранж;Оранжерейная
866;Орани;Ораниенбаумская/ий/ое
867;Орбел;Орбели
868;Орджо;Орджоникидзе
869;Ордин;Ординарная
870;Оренб;Оренбургская
871;Орлов;Орловская/ий
872;Освоб;Освобождения
873;Осипе;Осипенко
874;Оскал;Оскаленко
875;Остоу;Остоумова
876;Остро;Островского
877;Отваж;Отважных
878;Отече;Отечественная
879;Офице;Офицерский
880;Охотн;Охотничий
881;Очако;Очаковская
882;П163;Порт 163
883;ПАлек;Петра Алексеева
884;ПГарь;Пограничника Гарькавого
885;ПГерм;Партизана Германа
886;ПГрад;Петроградская
887;ПГриг;Печатника Григорьева
888;ПДикт;Пролетарской Диктатуры
889;ПЗаво;Петрозаводская/ое
890;ПИУри;Павильон Имени Урицкого
891;ПИваш;Профессора Ивашенцева
892;ПКача;Профессора Качалова
893;ПКозл;Путешественника Козлова
894;ПКоса;Петровская Коса
895;ПКреп;Петропавловская Крепость
896;ПКузь;Подводника Кузьмина
897;ПЛХоз;Парклесхоз
898;ПЛавр;Петра Лаврова
899;ПЛаге;Пионерский Лагерь
900;ПМайс;Первомайская/ий
901;ПМоро;Павлика Морозова
902;ПМузе;Паровозный музей
903;ПНБач;Проезд на Бачагу
904;ПОтде;Пулковское Отделение
905;ППопо;Профессора Попова
906;ПСаби;Полевая Сабировская
907;ПСлав;Петро-Славянка
908;ПСмор;Петра Смородина
909;Павл2;Павловск-2
910;Павло;Павловская/ий/ое
911;Памят;Памятная
912;Панае;Панаева
913;Панфи;Панфилова
914;Парад;Парадная
915;Параш;Парашютная
916;ПаргВ;Парголово
917;Парго;Парголовская/ий
918;Парко;Парковая/ый
919;ПарнН;Парнасная
920;Парна;Парнасская
921;Парни;Парниковая
922;Паров;Паровозная
923;Парох;Пароходная
924;Парти;Партизанский(ая)
925;Пархо;Пархоменко
926;Пасто;Пасторова
927;Певче;Певческий
928;Пельш;Пельше
929;ПереН;Перекупной
930;Перев;Перевозная/ой
931;Перед;Передовиков
932;Перек;Перекопская
933;Переп;Перепада
934;Перфи;Перфильева
935;Песо1;1-я Песочная
936;ПесоК;Песоченское
937;Песоч;Песочная/ый/ое
938;Песте;Пестеля
939;Песча;Песчаный
940;ПетеК;Петербургское/ая
941;Петер;Петергофское/ая
942;ПетрП;Петропавловская
943;ПетрС;Петровская/ий
944;Петро;Петровой
945;Печор;Печорская
946;ПилоН;Пилотная
947;Пилот;Пилотов
948;Пинег;Пинегина
949;ПионР;Отделение Пионер
950;ПионС;Пионерстроя
951;Пионе;Пионерская/ий
952;Пирог;Пирогова
953;Писар;Писарева
954;Писем;Писемского
955;ПискК;Пискаревский
956;Писка;Пискаревка
957;Плане;Планерная
958;Плано;Плановая
959;Пловд;Пловдивская
960;Плута;Плуталова
